filename,width,height,class,xmin,ymin,xmax,ymax
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,337,52,422,99
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,397,104,496,163
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,679,53,763,101
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,713,159,824,225
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,577,105,675,162
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,594,230,725,312
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,485,152,599,225
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,262,159,374,228
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,354,231,488,314
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,141,333,303,441
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,242,494,449,644
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,461,333,623,438
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,787,330,947,438
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,619,491,824,640
2e55b8aab2f49a1bcf6417f9495233bb,1080,1080,Mirage2000,405,763,686,989
