filename,width,height,class,xmin,ymin,xmax,ymax
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,457,530,822,692
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,755,370,964,460
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,124,401,335,504
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,187,246,342,303
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,220,160,342,199
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,646,225,784,279
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,583,142,691,183
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,516,71,594,100
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,756,12,826,35
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,776,1,841,20
0c1f9a40df584f13cf3b71dcb0968ec2,1024,757,B52,792,1,854,9
